id,full_name,i,om,per_y,class,diameter
c00001_0,"    1P/Halley",162.262690579161,58.42008097656843,75.3158906863411,HTC,11.0
c00002_0,"    2P/Encke",11.78199781557852,334.5678725687213,3.296934748586,ETc,4.8
c00003_0,"    3D/Biela",13.2164,250.669,6.64552531740703,JFc,
c00004_0,"    4P/Faye",9.070294510274881,199.143982411512,7.51956420594534,JFc,3.54
c00005_0,"    5D/Brorsen",29.3821,102.9676,5.46119640576126,JFc,
c00006_0,"    6P/d'Arrest",19.48168162749337,138.9337127711251,6.55836343821244,JFc,3.2
c00007_0,"    7P/Pons-Winnecke",22.29644218108785,93.42659185011168,6.36823838580226,JFc,5.2
c00008_0,"    8P/Tuttle",54.983184844602092766763,270.3416520050764,13.6083265414944,JFC,4.5
c00009_0,"    9P/Tempel 1",10.47386414673321,68.74959803160912,5.57923623009731,JFc,6.0
c00010_0,"   10P/Tempel 2",12.02393259978349,117.8029146213767,5.36924490427148,JFc,10.6
c00011_0,"   11P/Tempel-Swift-LINEAR",13.55352223000043,240.5247361135055,6.30762087538285,JFc,
c00012_0,"   12P/Pons-Brooks",74.176894232522556649200,255.8911443583019,70.8451929225654,HTC,
c00013_0,"   13P/Olbers",44.609885733805,86.10312835462277,69.5183499778236,HTC,
c00014_0,"   14P/Wolf",27.94266231240148,202.1079110296776,8.75155516165655,JFc,4.66
c00015_0,"   15P/Finlay",6.803655945058429,13.80063967391148,6.51076305456347,JFc,
c00016_0,"   16P/Brooks 2",4.261187225367249,159.2804324225749,6.15420812539407,JFc,
c00017_0,"   17P/Holmes",19.09175525320228,326.764799658168,6.88653673812553,JFc,3.42
c00018_0,"   18D/Perrine-Mrkos",17.7589827722319,240.8755466309168,6.71582582329104,JFc,
c00019_0,"   19P/Borrelly",30.31307021679391,75.43597686258941,6.85817635449295,JFc,4.8
c00020_0,"   20D/Westphal",40.8900610587027,348.0064469311446,61.8661332756055,HTC,
c00021_0,"   21P/Giacobini-Zinner",32.00310320419106,195.4052529144569,6.54931625541302,JFc,2.0
c00022_0,"   22P/Kopff",4.723924257820427,120.8750686455848,6.42976020786827,JFc,3.0
c00023_0,"   23P/Brorsen-Metcalf",19.333940469818628571374,311.5854622141069,70.5225834969236,HTC,
c00024_0,"   24P/Schaumasse",11.73397999992298,79.66577775476655,8.26093519448952,JFc,2.6
c00025_0,"   25D/Neujmin 2",10.6387130963875,328.7169509657245,5.42963027852721,JFc,
c00026_0,"   26P/Grigg-Skjellerup",22.35649066304651,211.710319637668,5.30919578072805,JFc,2.6
c00027_0,"   27P/Crommelin",28.96687278723059,250.6264098390235,28.0692839516353,HTC,
c00028_0,"   28P/Neujmin 1",14.31769871991174,346.4963984391508,18.18386233159,JFc,21.4
c00029_0,"   29P/Schwassmann-Wachmann 1",9.38673748699293,312.619275976853,14.6713372888341,JFc,60.4
c00030_0,"   30P/Reinmuth 1",8.126270446090473,119.7278627210677,7.33211152543363,JFc,7.8
c00031_0,"   31P/Schwassmann-Wachmann 2",4.546802791472039,114.1893633212641,8.73665878206134,JFc,6.2
c00032_0,"   32P/Comas Sola",9.968516517217138,57.84360276824752,9.57817657976511,JFc,8.4
c00033_0,"   33P/Daniel",22.3861446076708,66.54083550078751,8.09051290592239,JFc,2.6
c00034_0,"   34D/Gale",11.7281,67.9235,11,JFc,
c00035_0,"   35P/Herschel-Rigollet",64.207,355.980,155,HTC,
c00036_0,"   36P/Whipple",9.932581139878453,182.398835502527,8.51099018466956,JFc,4.56
c00037_0,"   37P/Forbes",8.962090696248872,314.6396914009586,6.42493440862548,JFc,1.92
c00038_0,"   38P/Stephan-Oterma",18.35294636708729,78.00038251120488,37.9301715720326,HTC,
c00039_0,"   39P/Oterma",1.951228375243417,332.1707230932955,19.3765144697127,CTc,
c00040_0,"   40P/Vaisala 1",11.49264281940788,133.8401678570807,10.9794558818843,JFc,4.2
c00041_0,"   41P/Tuttle-Giacobini-Kresak",9.229131696230207,141.066286210229,5.41865682628637,JFc,1.4
c00042_0,"   42P/Neujmin 3",3.984591946246174,150.279966816504,10.7687477482499,JFc,2.2
c00043_0,"   43P/Wolf-Harrington",15.97248249331635,249.8663360818902,6.13190532556299,JFc,3.6
c00044_0,"   44P/Reinmuth 2",5.895253569046006,286.4826633022792,7.09642087078555,JFc,3.22
c00045_0,"   45P/Honda-Mrkos-Pajdusakova",4.248163257767544,88.98173256883967,5.2617973693737,JFc,1.6
c00046_0,"   46P/Wirtanen",11.74759116219177,82.15764001105799,5.43895901998447,JFc,1.2
c00047_0,"   47P/Ashbrook-Jackson",13.02987725094421,356.9743281840909,8.3850516031867,JFc,5.6
c00048_0,"   48P/Johnson",13.66072398811014,117.2894093488922,6.95080942686081,JFc,5.74
c00049_0,"   49P/Arend-Rigaux",19.04971155526627,118.8823202152489,6.72779886548994,JFc,8.48
c00050_0,"   50P/Arend",19.16230981680282,355.3247745531997,8.26600634401576,JFc,1.9
c00051_0,"   51P/Harrington",5.424389279818731,83.70082476433753,7.15900818286303,JFc,4.8
c00051_a,"   51P/Harrington-A",8.654956945930117,119.1877795469232,6.77571408202069,JFc,4.8
c00051_d,"   51P/Harrington-D",5.408234874963838,84.56410029483207,7.05622087046608,JFc,
c00052_0,"   52P/Harrington-Abell",10.22565162735523,336.8686694013297,7.57502534116723,JFc,2.6
c00053_0,"   53P/Van Biesbroeck",6.611254102620895,148.8977993028672,12.5643944118219,JFc,6.66
c00054_0,"   54P/de Vico-Swift-NEAT",6.0671607093682196065742,358.8600316230779,7.37987869257988,JFc,
c00055_0,"   55P/Tempel-Tuttle",162.486575379434,235.270989149082,33.2417827583798,HTC,3.6
c00056_0,"   56P/Slaughter-Burnham",8.147233422215407,346.0397842419798,11.4702282517997,JFc,3.12
c00057_0,"   57P/duToit-Neujmin-Delporte",2.848332280065132,188.7994329470437,6.41528699620548,JFc,
c00057_a,"   57P/duToit-Neujmin-Delporte-A",2.84481020036925,188.9256753142995,6.41421280698932,JFc,
c00058_0,"   58P/Jackson-Neujmin",13.47162617393252,160.6806194453832,8.2573441129995,JFc,
c00059_0,"   59P/Kearns-Kwee",9.342506163347114,312.864104234953,9.51764238452834,JFc,1.58
c00060_0,"   60P/Tsuchinshan 2",3.609030486894438,267.6621316408426,6.57499325399629,JFc,
c00061_0,"   61P/Shajn-Schaldach",6.007764953028679,163.0891024911736,7.06334434178254,JFc,2.4
c00062_0,"   62P/Tsuchinshan 1",9.709984573381838,90.38262560156416,6.3873200676556,JFc,
c00063_0,"   63P/Wild 1",19.77997964011996,358.0018642381609,13.208808523438,JFc,2.9
c00064_0,"   64P/Swift-Gehrels",8.948390092799494,300.0009854543124,9.40694685088381,JFc,3.2
c00065_0,"   65P/Gunn",9.183298186122631,62.01900995387292,7.65260995822444,JFc,10.8
c00066_0,"   66P/du Toit",18.6689713312349,21.99985095509755,14.7809701659725,JFc,
c00067_0,"   67P/Churyumov-Gerasimenko",7.043698689343029,50.18000114437616,6.44931540263189,JFc,4.0
c00068_0,"   68P/Klemola",11.14012569130488,175.359524548697,10.8358732158791,JFc,4.4
