




Feature_ID,Feature_Name,Target,Diameter,Center_Latitude,Center_Longitude,
1,"Aachen","Mathilde",4.8,9.2,299.1,
2,"Aananin","Rhea",0,34.9,20.1,
6,"Aban","Mars",4.28,15.91,111.1,
7,"Abans","Ariel",20,-15.5,251.3,
9,"Abbe","Moon",63.98,-57.58,174.77,
10,"Abbot","Moon",10.4,5.56,54.74,
12,"Abel","Moon",137.35,-34.63,85.78,
13,"Abelard","Eros",1.1,-3.5,347.8,
14,"Abenezra","Moon",43.19,-20.99,11.89,
16,"Abetti","Moon",1.6,20.11,27.82,
17,"Abigail","Venus",18.4,-52.2,111.2,
18,"Abika","Venus",14.5,-52.5,104.4,
19,"Abington","Venus",21.7,-47.8,277.7,
20,"Abra","Venus",7.2,6.2,97.4,
21,"Abu Nuwas","Mercury",117,17.63,338.81,
22,"Abul Wáfa","Moon",54.18,0.96,116.63,
23,"Abulfeda","Moon",62.23,-13.87,13.91,
28,"Acastus","Phoebe",34,9.6,211.5,
29,"Accolon","Mimas",48,-70.56,175.59,
31,"Achar","Mars",5.36,45.43,123.16,
33,"Achelous","Ganymede",40,61.9,348.22,
39,"Acmon","Dactyl",0.3,-39,138,
40,"Acosta","Moon",13.06,-5.65,60.14,
42,"Adad","Ganymede",39,57.43,1.98,
43,"Adaiah","Venus",18,-47.3,253.4,
44,"Adal","Callisto",41.7,75.5,280.3,
46,"Adams","Mars",90.22,30.91,163.1,
47,"Adams","Moon",63.27,-31.89,68.39,
48,"Adamson","Venus",27.2,-14.8,29.6,
49,"Adapa","Ganymede",57,73.08,328.68,
50,"Addams","Venus",87,-56.2,98.9,
52,"Adivar","Venus",30.3,8.9,76.2,
53,"Adjua","Rhea",0,40.2,241.1,
55,"Admetus","Phoebe",58,11.4,320.9,
58,"Adrastus","Dione",38.5,-61.66,313.43,
59,"Adriana","Titania",50,-20.1,3.9,
61,"Adzoba","Venus",10,12.8,117,
63,"Aegir","Callisto",53.9,-45.8,256.2,
64,"Aeneas","Dione",161,25.89,313.73,
70,"Aethelflaed","Venus",20,-18.2,196.6,
73,"Afiba","Venus",9.5,-47.1,102.7,
74,"Afiruwa","Venus",5.2,4.3,3.8,
75,"Afon","Ida",0.8,-6.5,0,
76,"Africanus Horton","Mercury",140,-50.96,318.81,
77,"Aftenia","Venus",7,49.95,324,
78,"Afua","Venus",10,15.5,124,
80,"Agape","Ariel",34,-46.9,336.5,
81,"Agassiz","Mars",108.77,-69.88,271.11,
82,"Agatharchides","Moon",51.98,-19.85,328.89,
85,"Aglaonice","Venus",63.7,-26.4,339.9,
86,"Agloolik","Callisto",61.6,-47.7,277.6,
87,"Agnesi","Venus",42.4,-39.4,37.7,
89,"Agoe","Venus",6.3,13.1,4.3,
91,"Agreus","Ganymede",63,15.87,127.3,
92,"Agrippa","Moon",43.75,4.1,10.47,
93,"Agrippina","Venus",38.6,-33.2,65.7,
94,"Agrotes","Ganymede",74,60.93,167.38,
95,"Agunua","Rhea",0,63.3,293.8,
97,"Ahava","Venus",10.4,53.6,187.3,
98,"Ahmad","Enceladus",18.13,57.87,49.98,
99,"Ahmad Baba","Mercury",126,58.33,231.65,
102,"Ahti","Callisto",54.8,41.4,257.6,
104,"Aida","Eros",1.6,7.9,229.5,
108,"Aigul","Venus",6,38.2,280.4,
110,"Ailar","Venus",8.2,-15.8,68.4,
111,"Aimee","Venus",17,16.1,127.2,
113,"Airy","Moon",38.9,-18.14,5.61,
114,"Airy","Mars",43.05,-5.14,0.05,
115,"Airy-0","Mars",0.79,-5.07,0,
116,"Aisha","Venus",10.6,39.3,53.3,
117,"Aita","Venus",14,8.9,270.7,
119,"Aitken","Moon",129.69,-16.44,172.96,
120,"Aix","Gaspra",0.6,47.9,199.7,
121,"Ajax","Tethys",88,-28.41,78,
123,"Ajleke","Callisto",70,22.7,258.6,
124,"Ajon","Mars",8.08,16.49,103.14,
126,"Akeley","Venus",23.4,8,244.5,
128,"Akhmatova","Venus",41.4,61.3,307.9,
131,"Aki","Mars",7.87,-35.46,299.76,
132,"Akiko","Venus",17.4,30.6,187.3,
133,"Akis","Moon",2.28,20.01,328.24,
137,"Akosua","Venus",6.2,-58.6,18.1,
138,"Aksentyeva","Venus",42.5,-42,271.9,
139,"Aktaj","Mars",5.01,20.41,313.51,
141,"Akuba","Venus",5.5,9.6,23,
143,"Akycha","Callisto",81,72.6,41.3,
144,"Al-Akhtal","Mercury",94.29,59.38,260.29,
145,"Al-Bakri","Moon",12.21,14.34,20.25,
146,"Al-Biruni","Moon",80.41,18.07,92.62,
147,"Al-Hamadhani","Mercury",164,39.19,268.24,
148,"Al-Jāhiz","Mercury",83,1.36,338.24,
149,"Al-Khwarizmi","Moon",56.25,7.02,107.01,
150,"Al-Marrakushi","Moon",8.57,-10.45,55.77,
152,"Al-Taymuriyya","Venus",19,32.9,336.1,
154,"Aladdin","Enceladus",30.53,62.69,337.86,
156,"Alan","Moon",1.44,-10.93,353.83,
160,"Albany","Mars",2.15,22.96,310.98,
162,"Albategnius","Moon",130.84,-11.24,4.01,
163,"Alberich","Umbriel",52,-33.6,42.2,
164,"Albi","Mars",9.07,-41.47,324.99,
168,"Alcott","Venus",66,-59.5,354.4,
170,"Alden","Moon",111.44,-23.51,111.11,
171,"Alder","Moon",82.12,-48.63,182.12,
172,"Aldrin","Moon",2.8,1.41,22.09,
174,"Alekhin","Moon",74.82,-67.94,228.15,
176,"Alencar","Mercury",106,-63.64,256.22,
177,"Alexander","Moon",94.8,40.25,13.69,
178,"Alexey Tolstoy","Mars",93.04,-47.44,125.34,
179,"Aleyin","Ganymede",12.4,15.14,225.92,
180,"Alfr","Callisto",96,-9.9,137.3,
181,"Alfraganus","Moon",20.52,-5.42,18.97,
182,"Alga","Mars",18.72,-24.34,333.32,
183,"Alhazen","Moon",34.65,15.91,71.83,
184,"Ali Baba","Enceladus",34.09,56.84,342.49,
185,"Aliacensis","Moon",79.65,-30.6,5.13,
186,"Alima","Venus",10.3,-46,229.2,
187,"Alimat","Venus",13.5,-29.5,205.9,
188,"Alison","Venus",14.4,-4,165.6,
189,"Alitus","Mars",50,-34.91,321.86,
194,"Alma","Venus",16.8,-2.4,228.8,
196,"Almanon","Moon",47.76,-16.85,15.14,
197,"Almeida","Venus",15.5,46.6,123.3,
198,"Almeric","Iapetus",43,53.4,84,
199,"Aloha","Moon",2.55,29.79,306.12,
200,"Alonso","Miranda",25,-44,352.6,
202,"Alpetragius","Moon",40.02,-16.05,355.49,
206,"Alphonsus","Moon",110.54,-13.39,357.15,
207,"Altana","Venus",6,1.4,69.9,
208,"Alter","Moon",64.73,18.74,252.2,
210,"Alupka","Gaspra",0.3,65,295,
212,"Amalasuntha","Venus",15.4,-11.5,342.4,
213,"Amanda","Venus",12.5,-29.2,94.5,
214,"Amarum","Triton",0,26,24.5,
215,"Amata","Dione",76,5.17,80.19,
217,"Amaya","Venus",34.5,11.3,89.4,
223,"Ameghino","Moon",9.2,3.3,57.04,
224,"Amenardes","Venus",27.9,15,54.3,
230,"Amergin","Europa",17,-14.7,129.4,
231,"Ameta","Rhea",0,53.3,338.1,
232,"Amici","Moon",52.03,-10.06,187.77,
233,"Aminata","Venus",9.7,6.6,25.2,
236,"Ammonius","Moon",8.55,-8.52,359.17,
237,"Ammura","Ganymede",61.5,31.76,17.65,
238,"Amon","Ganymede",102,33.69,139.39,
240,"Amontons","Moon",2.47,-5.34,46.78,
241,"Amphion","Phoebe",18,-27,358.2,
244,"Amru Al-Qays","Mercury",47,12.43,183.89,
245,"Amset","Ganymede",11,-14.41,181.25,
246,"Amsterdam","Mars",1.66,23,313,
247,"Amundsen","Moon",103.39,-84.44,83.07,
251,"Anat","Ganymede",2.9,-4.1,232,
252,"Anaxagoras","Moon",51.9,73.48,349.83,
253,"Anaxandra","Venus",20.4,44.2,162.3,
254,"Anaximander","Moon",68.71,66.97,308.56,
255,"Anaximenes","Moon",81.12,72.49,315.02,
256,"Anchises","Dione",47,-34,295,
257,"Andal","Mercury",109,-47.52,322.29,
258,"Andami","Venus",28.9,-17.5,26.5,
259,"Anders","Moon",41.33,-41.31,216.7,
260,"Anderson","Moon",105.33,15.5,170.79,
261,"Andersson","Moon",13.42,-49.95,264.54,
262,"Andjeti","Ganymede",52,-52.75,198.9,
263,"Andreianova","Venus",66.1,-3,68.8,
265,"Andronov","Moon",16.57,-22.68,146.11,
266,"Andvari","Triton",0,20.5,34,
267,"Anděl","Moon",32.93,-10.41,12.38,
269,"Ango","Moon",0.87,20.48,327.66,
272,"Angström","Moon",9.55,29.9,318.33,
273,"Angu","Mars",2.08,20.01,105.64,
274,"Angus","Europa",4.5,-12.6,284.9,
276,"Anhur","Ganymede",25,32.63,167.68,
277,"Aniak","Mars",50.97,-31.84,290.44,
278,"Anicia","Venus",38.2,-26.3,31.3,
280,"Ann","Moon",2.12,25.11,359.95,
281,"Annapolis","Mars",1.11,23.16,312.27,
283,"Annegrit","Moon",1.29,29.43,334.36,
284,"Annia Faustina","Venus",23.4,22.1,4.7,
289,"Ansgarius","Moon",91.42,-12.92,79.72,
291,"Antenor","Dione",81,-7,348.46,
293,"Anticleia","Tethys",100.7,51.31,327.63,
294,"Antinous","Tethys",138,-59.89,73.85,
296,"Antoniadi","Moon",137.92,-69.3,186.94,
297,"Antoniadi","Mars",400.95,21.38,60.83,
299,"Antonina","Venus",13.8,28.1,106.8,
300,"Antony","Oberon",47,-27.5,65.4,
301,"Antum","Ganymede",14.75,5.09,141.06,
302,"Anu","Ganymede",55,65.24,15.75,
303,"Anubis","Ganymede",114,-84.44,231.34,
304,"Anuchin","Moon",62.14,-48.85,101.66,
306,"Anush","Venus",12.7,14.9,86.5,
